"Loja","Iteracao","Test_Start","Test_End","NMAE_c2","RRSE_c2","R2_c2","NMAE_naive","RRSE_naive","R2_naive"
"Baltimore",1,"2014-03-23","2014-03-29",1.4113,62.2825,0.6121,0.8666,36.3761,0.8677
"Baltimore",2,"2014-03-30","2014-04-05",1.7719,83.5632,0.3017,1.0373,48.4932,0.7648
"Baltimore",3,"2014-04-06","2014-04-12",1.946,73.0884,0.4658,0.8009,30.8891,0.9046
"Baltimore",4,"2014-04-13","2014-04-19",1.1319,43.7121,0.8089,2.114,74.2352,0.4489
"Baltimore",5,"2014-04-20","2014-04-26",2.924,175.3516,-2.0748,2.9937,178.6481,-2.1915
"Baltimore",6,"2014-04-27","2014-05-03",1.7354,78.1755,0.3889,1.7332,73.9491,0.4532
"Baltimore",7,"2014-05-04","2014-05-10",1.9767,77.5345,0.3988,0.4858,21.7744,0.9526
"Baltimore",8,"2014-05-11","2014-05-17",1.528,69.6715,0.5146,0.8009,35.3891,0.8748
"Baltimore",9,"2014-05-18","2014-05-24",1.045,7.5228,0.9943,6.4601,96.474,0.0693
"Baltimore",10,"2014-05-25","2014-05-31",2.4332,18.9751,0.964,16.2421,151.3919,-1.2919
"Baltimore",11,"2014-06-01","2014-06-07",2.0238,145.6205,-1.1205,10.386,1112.6191,-122.7921
"Baltimore",12,"2014-06-08","2014-06-14",1.2632,78.4885,0.384,0.4333,29.1367,0.9151
"Lancaster",1,"2014-03-23","2014-03-29",1.6804,97.8996,0.0416,0.6138,35.6865,0.8726
"Lancaster",2,"2014-03-30","2014-04-05",1.2603,79.1842,0.373,0.7596,49.4155,0.7558
"Lancaster",3,"2014-04-06","2014-04-12",1.3921,71.2047,0.493,0.5677,30.4884,0.907
"Lancaster",4,"2014-04-13","2014-04-19",0.8912,42.6691,0.8179,1.5038,72.864,0.4691
"Lancaster",5,"2014-04-20","2014-04-26",3.2104,188.38,-2.5487,2.5242,180.3962,-2.2543
"Lancaster",6,"2014-04-27","2014-05-03",1.5214,94.4132,0.1086,1.6035,110.2477,-0.2155
"Lancaster",7,"2014-05-04","2014-05-10",2.327,122.9689,-0.5121,0.3453,21.8525,0.9522
"Lancaster",8,"2014-05-11","2014-05-17",1.253,79.1137,0.3741,0.5677,35.2048,0.8761
"Lancaster",9,"2014-05-18","2014-05-24",0.8922,15.6351,0.9756,4.5573,96.5617,0.0676
"Lancaster",10,"2014-05-25","2014-05-31",3.4193,42.8787,0.8161,11.4393,151.3959,-1.2921
"Lancaster",11,"2014-06-01","2014-06-07",1.6114,190.8105,-2.6409,7.3116,1118.0318,-123.9995
"Lancaster",12,"2014-06-08","2014-06-14",1.0661,93.5587,0.1247,0.3222,29.7688,0.9114
"Philadelphia",1,"2014-03-23","2014-03-29",1.8074,55.2287,0.695,1.2742,37.655,0.8582
"Philadelphia",2,"2014-03-30","2014-04-05",2.0657,61.6351,0.6201,1.4598,47.1315,0.7779
"Philadelphia",3,"2014-04-06","2014-04-12",1.7174,51.7865,0.7318,1.1898,31.3768,0.9015
"Philadelphia",4,"2014-04-13","2014-04-19",2.4368,60.3137,0.6362,3.1305,74.4886,0.4451
"Philadelphia",5,"2014-04-20","2014-04-26",3.7297,150.7362,-1.2721,3.7929,157.1246,-1.4688
"Philadelphia",6,"2014-04-27","2014-05-03",2.0836,66.3547,0.5597,1.9112,60.4108,0.6351
"Philadelphia",7,"2014-05-04","2014-05-10",2.3845,61.2043,0.6254,0.7088,21.0769,0.9556
"Philadelphia",8,"2014-05-11","2014-05-17",1.6842,56.4776,0.681,1.2488,36.8163,0.8645
"Philadelphia",9,"2014-05-18","2014-05-24",3.2868,25.1648,0.9367,9.746,96.6296,0.0663
"Philadelphia",10,"2014-05-25","2014-05-31",3.8543,17.7389,0.9685,24.4452,151.4095,-1.2925
"Philadelphia",11,"2014-06-01","2014-06-07",3.4083,158.516,-1.5127,15.6274,1108.2257,-121.8164
"Philadelphia",12,"2014-06-08","2014-06-14",1.3422,49.6498,0.7535,0.6919,30.0007,0.91
"Richmond",1,"2014-03-23","2014-03-29",1.5394,57.7039,0.667,1.0307,38.5153,0.8517
"Richmond",2,"2014-03-30","2014-04-05",1.6807,59.1135,0.6506,1.1745,49.1481,0.7584
"Richmond",3,"2014-04-06","2014-04-12",1.7668,58.3331,0.6597,0.9588,31.6602,0.8998
"Richmond",4,"2014-04-13","2014-04-19",1.5481,49.8855,0.7511,2.4928,74.3886,0.4466
"Richmond",5,"2014-04-20","2014-04-26",3.4975,172.5787,-1.9783,3.2838,172.8047,-1.9861
"Richmond",6,"2014-04-27","2014-05-03",1.7005,67.8585,0.5395,1.7977,65.0574,0.5768
"Richmond",7,"2014-05-04","2014-05-10",1.7548,54.9682,0.6978,0.5513,21.6081,0.9533
"Richmond",8,"2014-05-11","2014-05-17",1.3533,58.7334,0.655,1.0067,37.0227,0.8629
"Richmond",9,"2014-05-18","2014-05-24",1.4088,12.1943,0.9851,7.6942,96.6746,0.0654
"Richmond",10,"2014-05-25","2014-05-31",2.4309,15.4801,0.976,19.2953,151.4439,-1.2935
"Richmond",11,"2014-06-01","2014-06-07",2.0545,128.4545,-0.6501,12.3442,1110.158,-122.2451
"Richmond",12,"2014-06-08","2014-06-14",1.2705,64.2308,0.5874,0.5753,30.8957,0.9045
