"Loja","Dia","PREV_Clientes","PR","J","X","Clientes_Assistidos","Lucro_Diario"
"Baltimore","Dom",111,0.183,9,8,110,372
"Baltimore","Seg",75,0.1849,5,6,72,384
"Baltimore","Ter",90,0.2469,8,6,90,432
"Baltimore","Qua",86,0.2093,10,3,81,357
"Baltimore","Qui",91,0.0782,1,12,90,582
"Baltimore","Sex",102,0.074,0,12,84,552
"Baltimore","Sab",119,0.2012,13,6,119,389
"Lancaster","Dom",122,0.0774,11,6,108,472
"Lancaster","Seg",100,0.0314,3,11,95,709
"Lancaster","Ter",107,0.0229,6,10,106,746
"Lancaster","Qua",107,0.0703,10,6,102,636
"Lancaster","Qui",117,0.0359,4,13,115,857
"Lancaster","Sex",132,0.0081,15,6,132,816
"Lancaster","Sab",154,0.0086,24,0,144,624
"Philadelphia","Dom",221,0.0095,26,9,219,1111
"Philadelphia","Seg",172,0.0021,28,0,168,1176
"Philadelphia","Ter",188,0.0175,28,3,188,1297
"Philadelphia","Qua",195,0.1391,28,4,195,1343
"Philadelphia","Qui",185,0.2605,20,9,183,1071
"Philadelphia","Sex",208,0.0168,17,15,207,1404
"Philadelphia","Sab",266,0.0783,28,12,252,1268
"Richmond","Dom",70,0.0284,7,4,70,418
"Richmond","Seg",50,0.0311,6,2,50,394
"Richmond","Ter",52,0.1629,4,4,52,380
"Richmond","Qua",51,0.0772,3,5,51,373
"Richmond","Qui",61,0.0349,0,9,61,500
"Richmond","Sex",57,0.2732,5,3,51,318
"Richmond","Sab",75,0.3,0,10,70,310
