"Loja","Iteracao","Test_Start","Test_End","NMAE_arimax","RRSE_arimax","R2_arimax","NMAE_naive","RRSE_naive","R2_naive"
"Baltimore",1,"2014-03-23","2014-03-29",1.0627,52.4608,0.7248,0.8666,36.3761,0.8677
"Baltimore",2,"2014-03-30","2014-04-05",1.6676,84.5936,0.2844,1.0373,48.4932,0.7648
"Baltimore",3,"2014-04-06","2014-04-12",1.2429,64.2328,0.5874,0.8009,30.8891,0.9046
"Baltimore",4,"2014-04-13","2014-04-19",1.2671,42.281,0.8212,2.114,74.2352,0.4489
"Baltimore",5,"2014-04-20","2014-04-26",2.5992,169.5835,-1.8759,2.9937,178.6481,-2.1915
"Baltimore",6,"2014-04-27","2014-05-03",1.6383,69.7565,0.5134,1.7332,73.9491,0.4532
"Baltimore",7,"2014-05-04","2014-05-10",1.6549,65.1721,0.5753,0.4858,21.7744,0.9526
"Baltimore",8,"2014-05-11","2014-05-17",1.3872,65.4759,0.5713,0.8009,35.3891,0.8748
"Baltimore",9,"2014-05-18","2014-05-24",1.0078,7.1278,0.9949,6.4601,96.474,0.0693
"Baltimore",10,"2014-05-25","2014-05-31",3.0828,24.282,0.941,16.2421,151.3919,-1.2919
"Baltimore",11,"2014-06-01","2014-06-07",1.671,113.6319,-0.2912,10.386,1112.6191,-122.7921
"Baltimore",12,"2014-06-08","2014-06-14",1.0414,59.1956,0.6496,0.4333,29.1367,0.9151
"Lancaster",1,"2014-03-23","2014-03-29",0.9792,64.0353,0.5899,0.6138,35.6865,0.8726
"Lancaster",2,"2014-03-30","2014-04-05",0.8661,59.8802,0.6414,0.7596,49.4155,0.7558
"Lancaster",3,"2014-04-06","2014-04-12",1.2086,76.3553,0.417,0.5677,30.4884,0.907
"Lancaster",4,"2014-04-13","2014-04-19",0.882,46.7745,0.7812,1.5038,72.864,0.4691
"Lancaster",5,"2014-04-20","2014-04-26",2.3791,176.2198,-2.1053,2.5242,180.3962,-2.2543
"Lancaster",6,"2014-04-27","2014-05-03",1.1617,75.3626,0.432,1.6035,110.2477,-0.2155
"Lancaster",7,"2014-05-04","2014-05-10",1.5313,82.3966,0.3211,0.3453,21.8525,0.9522
"Lancaster",8,"2014-05-11","2014-05-17",1.1107,68.769,0.5271,0.5677,35.2048,0.8761
"Lancaster",9,"2014-05-18","2014-05-24",0.5899,6.3889,0.9959,4.5573,96.5617,0.0676
"Lancaster",10,"2014-05-25","2014-05-31",4.026,49.0827,0.7591,11.4393,151.3959,-1.2921
"Lancaster",11,"2014-06-01","2014-06-07",1.5047,136.5792,-0.8654,7.3116,1118.0318,-123.9995
"Lancaster",12,"2014-06-08","2014-06-14",0.6658,63.3353,0.5989,0.3222,29.7688,0.9114
"Philadelphia",1,"2014-03-23","2014-03-29",1.3371,43.2139,0.8133,1.2742,37.655,0.8582
"Philadelphia",2,"2014-03-30","2014-04-05",2.3697,70.9575,0.4965,1.4598,47.1315,0.7779
"Philadelphia",3,"2014-04-06","2014-04-12",1.8093,54.7763,0.7,1.1898,31.3768,0.9015
"Philadelphia",4,"2014-04-13","2014-04-19",2.0463,53.7996,0.7106,3.1305,74.4886,0.4451
"Philadelphia",5,"2014-04-20","2014-04-26",3.418,146.2948,-1.1402,3.7929,157.1246,-1.4688
"Philadelphia",6,"2014-04-27","2014-05-03",2.0759,61.6597,0.6198,1.9112,60.4108,0.6351
"Philadelphia",7,"2014-05-04","2014-05-10",2.2303,55.5586,0.6913,0.7088,21.0769,0.9556
"Philadelphia",8,"2014-05-11","2014-05-17",1.7485,56.8061,0.6773,1.2488,36.8163,0.8645
"Philadelphia",9,"2014-05-18","2014-05-24",3.3455,24.9082,0.938,9.746,96.6296,0.0663
"Philadelphia",10,"2014-05-25","2014-05-31",3.6435,17.5344,0.9693,24.4452,151.4095,-1.2925
"Philadelphia",11,"2014-06-01","2014-06-07",3.3118,154.1868,-1.3774,15.6274,1108.2257,-121.8164
"Philadelphia",12,"2014-06-08","2014-06-14",1.3579,53.3462,0.7154,0.6919,30.0007,0.91
"Richmond",1,"2014-03-23","2014-03-29",1.0927,45.2758,0.795,1.0307,38.5153,0.8517
"Richmond",2,"2014-03-30","2014-04-05",1.4107,54.68,0.701,1.1745,49.1481,0.7584
"Richmond",3,"2014-04-06","2014-04-12",1.9461,63.1743,0.6009,0.9588,31.6602,0.8998
"Richmond",4,"2014-04-13","2014-04-19",1.2869,40.4249,0.8366,2.4928,74.3886,0.4466
"Richmond",5,"2014-04-20","2014-04-26",3.2056,167.292,-1.7987,3.2838,172.8047,-1.9861
"Richmond",6,"2014-04-27","2014-05-03",1.7778,68.0007,0.5376,1.7977,65.0574,0.5768
"Richmond",7,"2014-05-04","2014-05-10",1.678,52.6769,0.7225,0.5513,21.6081,0.9533
"Richmond",8,"2014-05-11","2014-05-17",1.3184,55.5565,0.6913,1.0067,37.0227,0.8629
"Richmond",9,"2014-05-18","2014-05-24",1.6898,14.4932,0.979,7.6942,96.6746,0.0654
"Richmond",10,"2014-05-25","2014-05-31",3.0785,19.6508,0.9614,19.2953,151.4439,-1.2935
"Richmond",11,"2014-06-01","2014-06-07",2.0151,108.9722,-0.1875,12.3442,1110.158,-122.2451
"Richmond",12,"2014-06-08","2014-06-14",1.0205,57.4012,0.6705,0.5753,30.8957,0.9045
