"Loja","Iteracao","Train_Start","Train_End","Train_Size","Test_Start","Test_End","Test_Size","Modelo","Lag_VAR","MAE","NMAE","RRSE","R2"
"Baltimore",1,2012-07-01,2014-03-22,630,2014-03-23,2014-03-29,7,"VAR",5,18.4997,1.7003,81.1486,0.3415
"Baltimore",2,2012-07-01,2014-03-29,637,2014-03-30,2014-04-05,7,"VAR",5,23.1279,2.1257,116.0234,-0.3461
"Baltimore",3,2012-07-01,2014-04-05,644,2014-04-06,2014-04-12,7,"VAR",5,18.5146,1.7017,76.1195,0.4206
"Baltimore",4,2012-07-01,2014-04-12,651,2014-04-13,2014-04-19,7,"VAR",5,24.9535,2.2935,76.5479,0.414
"Baltimore",5,2012-07-01,2014-04-19,658,2014-04-20,2014-04-26,7,"VAR",5,33.4304,3.0727,183.9301,-2.383
"Baltimore",6,2012-07-01,2014-04-26,665,2014-04-27,2014-05-03,7,"VAR",5,24.4613,2.2483,121.171,-0.4682
"Baltimore",7,2012-07-01,2014-05-03,672,2014-05-04,2014-05-10,7,"VAR",5,22.7692,2.0928,101.3351,-0.0269
"Baltimore",8,2012-07-01,2014-05-10,679,2014-05-11,2014-05-17,7,"VAR",5,18.3953,1.6907,103.66,-0.0745
"Baltimore",9,2012-07-01,2014-05-17,686,2014-05-18,2014-05-24,7,"VAR",5,66.2784,6.0918,82.9188,0.3124
"Baltimore",10,2012-07-01,2014-05-24,693,2014-05-25,2014-05-31,7,"VAR",5,57.9208,5.3236,51.0142,0.7398
"Baltimore",11,2012-07-01,2014-05-31,700,2014-06-01,2014-06-07,7,"VAR",5,26.3594,2.4227,200.8228,-3.033
"Baltimore",12,2012-07-01,2014-06-07,707,2014-06-08,2014-06-14,7,"VAR",5,17.365,1.5961,131.9603,-0.7414
"Lancaster",1,2012-07-01,2014-03-22,630,2014-03-23,2014-03-29,7,"VAR",6,31.2675,1.6792,117.2352,-0.3744
"Lancaster",2,2012-07-01,2014-03-29,637,2014-03-30,2014-04-05,7,"VAR",6,38.7292,2.08,159.4676,-1.543
"Lancaster",3,2012-07-01,2014-04-05,644,2014-04-06,2014-04-12,7,"VAR",6,25.2645,1.3568,99.5844,0.0083
"Lancaster",4,2012-07-01,2014-04-12,651,2014-04-13,2014-04-19,7,"VAR",6,34.8455,1.8714,87.7184,0.2305
"Lancaster",5,2012-07-01,2014-04-19,658,2014-04-20,2014-04-26,7,"VAR",6,61.8533,3.3219,202.8427,-3.1145
"Lancaster",6,2012-07-01,2014-04-26,665,2014-04-27,2014-05-03,7,"VAR",6,31.8414,1.7101,146.728,-1.1529
"Lancaster",7,2012-07-01,2014-05-03,672,2014-05-04,2014-05-10,7,"VAR",6,22.5107,1.209,106.9194,-0.1432
"Lancaster",8,2012-07-01,2014-05-10,679,2014-05-11,2014-05-17,7,"VAR",6,25.5284,1.371,129.3502,-0.6731
"Lancaster",9,2012-07-01,2014-05-17,686,2014-05-18,2014-05-24,7,"VAR",6,79.3704,4.2626,78.2328,0.388
"Lancaster",10,2012-07-01,2014-05-24,693,2014-05-25,2014-05-31,7,"VAR",6,74.7649,4.0153,57.5782,0.6685
"Lancaster",11,2012-07-01,2014-05-31,700,2014-06-01,2014-06-07,7,"VAR",6,41.7246,2.2408,273.0425,-6.4552
"Lancaster",12,2012-07-01,2014-06-07,707,2014-06-08,2014-06-14,7,"VAR",6,34.6668,1.8618,197.5729,-2.9035
"Philadelphia",1,2012-07-01,2014-03-22,630,2014-03-23,2014-03-29,7,"VAR",6,30.6995,1.8133,58.7091,0.6553
"Philadelphia",2,2012-07-01,2014-03-29,637,2014-03-30,2014-04-05,7,"VAR",6,52.9371,3.1268,105.1239,-0.1051
"Philadelphia",3,2012-07-01,2014-04-05,644,2014-04-06,2014-04-12,7,"VAR",6,38.7023,2.286,61.7061,0.6192
"Philadelphia",4,2012-07-01,2014-04-12,651,2014-04-13,2014-04-19,7,"VAR",6,51.8771,3.0642,79.4862,0.3682
"Philadelphia",5,2012-07-01,2014-04-19,658,2014-04-20,2014-04-26,7,"VAR",6,62.9256,3.7168,152.7182,-1.3323
"Philadelphia",6,2012-07-01,2014-04-26,665,2014-04-27,2014-05-03,7,"VAR",6,47.452,2.8028,89.4398,0.2001
"Philadelphia",7,2012-07-01,2014-05-03,672,2014-05-04,2014-05-10,7,"VAR",6,54.1533,3.1987,84.3789,0.288
"Philadelphia",8,2012-07-01,2014-05-10,679,2014-05-11,2014-05-17,7,"VAR",6,41.2456,2.4362,79.6984,0.3648
"Philadelphia",9,2012-07-01,2014-05-17,686,2014-05-18,2014-05-24,7,"VAR",6,162.7802,9.6149,89.8477,0.1927
"Philadelphia",10,2012-07-01,2014-05-24,693,2014-05-25,2014-05-31,7,"VAR",6,111.0398,6.5588,45.3273,0.7945
"Philadelphia",11,2012-07-01,2014-05-31,700,2014-06-01,2014-06-07,7,"VAR",6,47.7087,2.818,151.8983,-1.3073
"Philadelphia",12,2012-07-01,2014-06-07,707,2014-06-08,2014-06-14,7,"VAR",6,40.4979,2.3921,107.9244,-0.1648
"Richmond",1,2012-07-01,2014-03-22,630,2014-03-23,2014-03-29,7,"VAR",4,10.4215,1.7486,79.7888,0.3634
"Richmond",2,2012-07-01,2014-03-29,637,2014-03-30,2014-04-05,7,"VAR",4,11.1269,1.8669,93.8018,0.1201
"Richmond",3,2012-07-01,2014-04-05,644,2014-04-06,2014-04-12,7,"VAR",4,8.1055,1.36,52.0789,0.7288
"Richmond",4,2012-07-01,2014-04-12,651,2014-04-13,2014-04-19,7,"VAR",4,13.9809,2.3458,65.1097,0.5761
"Richmond",5,2012-07-01,2014-04-19,658,2014-04-20,2014-04-26,7,"VAR",4,19.2967,3.2377,172.5668,-1.9779
"Richmond",6,2012-07-01,2014-04-26,665,2014-04-27,2014-05-03,7,"VAR",4,13.9204,2.3356,97.4209,0.0509
"Richmond",7,2012-07-01,2014-05-03,672,2014-05-04,2014-05-10,7,"VAR",4,11.0209,1.8491,73.4882,0.4599
"Richmond",8,2012-07-01,2014-05-10,679,2014-05-11,2014-05-17,7,"VAR",4,9.7025,1.6279,78.1061,0.3899
"Richmond",9,2012-07-01,2014-05-17,686,2014-05-18,2014-05-24,7,"VAR",4,40.5379,6.8017,85.1215,0.2754
"Richmond",10,2012-07-01,2014-05-24,693,2014-05-25,2014-05-31,7,"VAR",4,39.9073,6.6959,51.2775,0.7371
"Richmond",11,2012-07-01,2014-05-31,700,2014-06-01,2014-06-07,7,"VAR",4,17.083,2.8663,198.3331,-2.9336
"Richmond",12,2012-07-01,2014-06-07,707,2014-06-08,2014-06-14,7,"VAR",4,12.852,2.1564,132.2527,-0.7491
