"algoritmo","run","objetivo","lucro","tempo_s"
"GA (rbga)",1,"O1",17237,3.11199999999985
"GA (rbga)",2,"O1",17319,3.07000000000016
"GA (rbga)",3,"O1",16968,3.05299999999988
"GA (rbga)",4,"O1",17419,3.06600000000003
"GA (rbga)",5,"O1",17119,3.02999999999997
"GA (rbga)",6,"O1",16955,3.05600000000004
"GA (rbga)",7,"O1",17087,3.01400000000012
"GA (rbga)",8,"O1",16974,3.04600000000005
"GA (rbga)",9,"O1",17181,3.02699999999982
"GA (rbga)",10,"O1",17182,3.05599999999981
"GA (rbga)",11,"O1",17342,3.03800000000001
"GA (rbga)",12,"O1",17226,3.06099999999992
"GA (rbga)",13,"O1",17267,3.02499999999986
"GA (rbga)",14,"O1",17174,3.06200000000013
"GA (rbga)",15,"O1",17253,3.01099999999997
"GA (rbga)",16,"O1",17177,3.09500000000003
"GA (rbga)",17,"O1",16782,3.05400000000009
"GA (rbga)",18,"O1",16900,3.077
"GA (rbga)",19,"O1",17082,3.01999999999998
"GA (rbga)",20,"O1",16890,3.02800000000002
"GA (rbga)",1,"O2",462,2.35699999999997
"GA (rbga)",2,"O2",462,2.30200000000013
"GA (rbga)",3,"O2",443,2.35899999999992
"GA (rbga)",4,"O2",383,2.32200000000012
"GA (rbga)",5,"O2",435,2.37899999999991
"GA (rbga)",6,"O2",409,2.346
"GA (rbga)",7,"O2",450,2.27999999999997
"GA (rbga)",8,"O2",530,2.37400000000002
"GA (rbga)",9,"O2",395,2.32799999999997
"GA (rbga)",10,"O2",479,2.37800000000016
"GA (rbga)",11,"O2",426,2.2829999999999
"GA (rbga)",12,"O2",458,2.34799999999996
"GA (rbga)",13,"O2",489,2.37200000000007
"GA (rbga)",14,"O2",403,2.33699999999999
"GA (rbga)",15,"O2",357,2.38000000000011
"GA (rbga)",16,"O2",501,2.29700000000003
"GA (rbga)",17,"O2",505,2.33500000000004
"GA (rbga)",18,"O2",351,2.38200000000006
"GA (rbga)",19,"O2",475,2.3309999999999
"GA (rbga)",20,"O2",530,2.32400000000007
