"objetivo","loja","dia","dia_sem","PREV","PR","J","X"
"O1","baltimore",1,"Sab",114,0.1386,16,2
"O1","baltimore",2,"Dom",114,0.0307,16,3
"O1","baltimore",3,"Seg",108,0.1359,1,15
"O1","baltimore",4,"Ter",110,0.0855,16,1
"O1","baltimore",5,"Qua",85,0.0215,3,9
"O1","baltimore",6,"Qui",97,0.232,8,7
"O1","baltimore",7,"Sex",164,0.0179,21,5
"O1","lancaster",1,"Sab",133,0.1505,2,17
"O1","lancaster",2,"Dom",115,0.0322,12,6
"O1","lancaster",3,"Seg",112,0.0572,12,3
"O1","lancaster",4,"Ter",111,0.038,8,9
"O1","lancaster",5,"Qua",109,0.034,10,7
"O1","lancaster",6,"Qui",112,0.2107,1,13
"O1","lancaster",7,"Sex",142,0.0259,8,13
"O1","philadelphia",1,"Sab",232,0.0746,35,2
"O1","philadelphia",2,"Dom",167,0.1291,17,10
"O1","philadelphia",3,"Seg",180,0.022,4,21
"O1","philadelphia",4,"Ter",190,0.0199,29,2
"O1","philadelphia",5,"Qua",196,0.0132,32,2
"O1","philadelphia",6,"Qui",209,0.1292,32,2
"O1","philadelphia",7,"Sex",302,0.0527,47,1
"O1","richmond",1,"Sab",64,0.0319,8,2
"O1","richmond",2,"Dom",45,0.0277,6,1
"O1","richmond",3,"Seg",47,0.0184,2,4
"O1","richmond",4,"Ter",49,0.032,8,0
"O1","richmond",5,"Qua",52,0.2054,7,2
"O1","richmond",6,"Qui",59,0.0257,7,3
"O1","richmond",7,"Sex",82,0.139,10,3
"O2","baltimore",1,"Sab",114,0.146,0,0
"O2","baltimore",2,"Dom",114,0.0096,0,1
"O2","baltimore",3,"Seg",108,0.0255,4,2
"O2","baltimore",4,"Ter",110,0.2013,2,1
"O2","baltimore",5,"Qua",85,0.0865,0,3
"O2","baltimore",6,"Qui",97,0.1984,1,1
"O2","baltimore",7,"Sex",164,0.0943,3,3
"O2","lancaster",1,"Sab",133,0.1207,1,3
"O2","lancaster",2,"Dom",115,0.0909,2,2
"O2","lancaster",3,"Seg",112,0.14,0,0
"O2","lancaster",4,"Ter",111,0.0142,2,3
"O2","lancaster",5,"Qua",109,0.0863,2,0
"O2","lancaster",6,"Qui",112,0.0053,3,2
"O2","lancaster",7,"Sex",142,0.1273,0,0
"O2","philadelphia",1,"Sab",232,0.0738,2,0
"O2","philadelphia",2,"Dom",167,0.0058,8,2
"O2","philadelphia",3,"Seg",180,0.0409,0,3
"O2","philadelphia",4,"Ter",190,0.2944,2,1
"O2","philadelphia",5,"Qua",196,0.0814,3,1
"O2","philadelphia",6,"Qui",209,0.1744,1,0
"O2","philadelphia",7,"Sex",302,0.0168,3,2
"O2","richmond",1,"Sab",64,0.0247,1,1
"O2","richmond",2,"Dom",45,0.2402,0,1
"O2","richmond",3,"Seg",47,0.2731,0,0
"O2","richmond",4,"Ter",49,0.0233,2,3
"O2","richmond",5,"Qua",52,0.0352,3,1
"O2","richmond",6,"Qui",59,0.2058,2,2
"O2","richmond",7,"Sex",82,0.2211,1,2
