"semana","MC_O1","MC_O2","HC_O1","HC_O2","SANN_O1","SANN_O2","GA_O1","GA_O2","NSGA2_O3"
1,8965,196,12395,-891,10370,885,13577,194,914
2,8845,164,11338,-932,10689,959,13101,250,948
3,9232,213,11898,-917,11174,1041,14087,247,975
4,9690,174,11863,-930,10217,966,14372,249,954
5,9124,137,10856,-1792,10957,782,13402,211,798
6,10856,140,13746,-930,12688,944,15997,222,892
7,9981,128,12968,-897,10874,900,15022,202,938
8,9005,145,11098,-931,10029,966,13770,338,857
9,16868,-137,18583,-924,17443,948,23162,166,688
10,26156,NA,31357,-898,24089,1010,36039,168,653
11,11968,56,14059,-944,11069,1020,17355,314,906
12,8819,242,11340,-925,9278,958,13001,329,861
