"Algoritmo","Objetivo","Lucro"
"PSO","O1",15298
"PSO","O1",16298
"PSO","O1",15778
"PSO","O1",14938
"PSO","O1",15668
"PSO","O1",15205
"PSO","O1",14551
"PSO","O1",14539
"PSO","O1",15103
"PSO","O1",14526
"PSO","O1",16501
"PSO","O1",16384
"PSO","O1",15698
"PSO","O1",15995
"PSO","O1",15601
"PSO","O1",16640
"PSO","O1",15914
"PSO","O1",16568
"PSO","O1",16189
"PSO","O1",16066
"PSO","O2",1398
"PSO","O2",1270
"PSO","O2",1225
"PSO","O2",1260
"PSO","O2",1300
"PSO","O2",1095
"PSO","O2",1267
"PSO","O2",1378
"PSO","O2",1372
"PSO","O2",1200
"PSO","O2",1213
"PSO","O2",1164
"PSO","O2",1275
"PSO","O2",1320
"PSO","O2",1309
"PSO","O2",1265
"PSO","O2",1303
"PSO","O2",1229
"PSO","O2",1410
"PSO","O2",1244
"DE","O1",16970
"DE","O1",16973
"DE","O1",17066
"DE","O1",16914
"DE","O1",17095
"DE","O1",17035
"DE","O1",17121
"DE","O1",17480
"DE","O1",17210
"DE","O1",16971
"DE","O1",17146
"DE","O1",17123
"DE","O1",16833
"DE","O1",17118
"DE","O1",17122
"DE","O1",17111
"DE","O1",17186
"DE","O1",17103
"DE","O1",17160
"DE","O1",17190
"DE","O2",981
"DE","O2",949
"DE","O2",941
"DE","O2",935
"DE","O2",940
"DE","O2",923
"DE","O2",945
"DE","O2",980
"DE","O2",951
"DE","O2",892
"DE","O2",972
"DE","O2",930
"DE","O2",899
"DE","O2",940
"DE","O2",961
"DE","O2",953
"DE","O2",959
"DE","O2",890
"DE","O2",925
"DE","O2",980
"GA-bin","O1",17965
"GA-bin","O2",1064.5
"HC","O1",14082
"HC","O2",-895.5
"MC","O1",11069.5
"MC","O2_DP",159
"MC","O2_REPAIR",880.5
"MC","O1",10869
"MC","O2",230
"MC","O3",181
"SANN","O1",15970.5
"SANN","O2",1136.5
"Tabu","O1",8199
"Tabu","O2",442.5
