"membro","algoritmo","objetivo","mediana","media","lucro_max","lucro_min","unidades","total_HR","tempo_s"
"Carolina","DE","O1",17114.5,NA,17480,16833,56450,523,144.06
"Eduardo","SANN","O1",15970.5,NA,NA,NA,57251,536,NA
"Carolina","PSO","O1",15738,15673,16640,14526,59968,515,60.94
"Eduardo","HC","O1",14082,NA,NA,NA,55024,503,NA
"Nuno","Monte Carlo","O1",11069.5,NA,NA,NA,57375,504,NA
"Carolina","PSO Repair","O2",1268.5,NA,1410,1095,9996,NA,910.83
"Eduardo","SANN","O2",1136.5,NA,NA,NA,9985,101.715698140474,NA
"Carolina","PSO DeathPenalty","O2",1109.5,NA,1360,-388,9995,NA,910.83
"Carolina","DE Repair","O2",943,NA,981,890,9987,NA,2306.67
"Carolina","DE DeathPenalty","O2",622,NA,694,505,9992,NA,2306.67
"Nuno","Monte Carlo","O2",159,NA,NA,NA,9945,87,NA
"Eduardo","HC","O2",-895.5,NA,NA,NA,6569,56,NA
"João","GA (rbga)",NA,NA,NA,NA,NA,58582,529,3.12
